id,yoga_type,yt_link
1,Savasana,https://youtu.be/nF4WqMRbfdI?si=D7zhesO1OD8k8Txa
2,Chakrasana,https://youtu.be/uVQ3tzz71w4?si=EiR7Gw-yHEleR0RA
3,Cobra Pose,https://youtu.be/k48O2CxvZ3o?si=zl3B0PGiv5nkGZZE
4,Surya Namaskar,https://youtu.be/1xRX1MuoImw?si=N55ulRj3fHa27BDY
5,Vajrasana,https://youtu.be/hlabeelL1xg?si=9-CR8YxZdjcjSGhk
6,Mountain Pose,https://youtu.be/xdHmXsNFDDY?si=XNjXawNRSTIMJO43
7,Tree Pose,https://youtu.be/mg86BF7njbU?si=X63vck8gYAxCwTmx
8,Forward Bend,https://youtu.be/K5dp6ZtARBo?si=JU5NUVz_EXe_ugfT
9,Ardha Chakrasana,https://youtu.be/sQGXxC7ZiT4?si=g6CgZcKD3sElAMXQ
10,Triangle Pose,https://youtu.be/LJcnspGdsGM?si=XIdPEEH22IdyijZN
11,Butterfly Pose,https://youtu.be/m2KPQPsGtlU?si=VGD2ry3aa3Ho2PS9
12,Ustrasana,https://youtu.be/cW1_u0ZJgqU?si=4Zc0gw8m-t28D_kv
13,Child Pose,https://youtu.be/zDlMPu66pc4?si=5wO3rZbmvEwB0RDN
14,Uttana Mandukasana,https://youtu.be/13Oa3-uaimQ?si=JafWAf-qSdER4iQs
15,Seated Twist,https://youtu.be/T16SpDTjULE?si=pF64qAdTT7BZyDLS
16,Makarasana,https://youtu.be/MJ1381GqMjA?si=WhrkkwU079K1JYE4
17,Pranayama,https://youtu.be/395ZloN4Rr8
18,Meditation,https://youtu.be/inpok4MKVLM
19,Yoga Nidra,https://youtu.be/7H0FKzeuVVs
20,Cat Cow Pose,https://youtu.be/kqnua4rHVVA
21,Plank Pose,https://youtu.be/pSHjTRCQxIw
22,Warrior Pose,https://youtu.be/kkGYrB3eZ4Y
23,Downward Dog,https://youtu.be/0FxKf6x7C1I
24,Sun Salutation,https://youtu.be/1xRX1MuoImw
25,Pawanmuktasana,https://www.youtube.com/watch?v=UNQfuFaQWNo
26,Neck Rolls,https://youtu.be/1kYkT0C1wW0
27,Shoulder Shrugs,https://youtu.be/DYJ9zFhQxE0
28,Eagle Arms,https://youtu.be/49Y0C8z1y7A
